dewpoint_1000_hpa,dewpoint_850_hpa,k_index,showalter_index,dewpoint_500_hpa,lifted_index,convective_available_potential_energy,cross_totals_index,dewpoint_700_hpa,rain
23.1,15.9,35.5,0.19,-5.2,-1.92,558.61,19.8,6.7,1
23.1,15.9,35.5,0.19,-5.2,-1.92,558.61,19.8,6.7,0
22.9,14.8,37.4,0.91,18.5,-1.16,475.61,18.3,8.7,1
22.9,14.8,37.4,0.91,18.5,-1.16,475.61,18.3,8.7,0
22.3,15.5,34.6,-1.2,-6.0,-2.2,264.83,21.0,5.4,1
22.3,15.5,34.6,-1.2,-6.0,-2.2,264.83,21.0,5.4,1
22.4,14.5,35.6,0.33,-6.3,-1.36,185.25,19.8,7.2,1
22.4,14.5,35.6,0.33,-6.3,-1.36,185.25,19.8,7.2,0
20.6,14.5,32.4,1.74,18.7,-0.08,94.49,18.2,5.8,1
20.6,14.5,32.4,1.74,18.7,-0.08,94.49,18.2,5.8,1
22.5,11.2,23.9,2.91,-6.1,-2.29,187.7,16.7,-1.0,1
22.0,13.8,35.8,1.5,-7.7,-0.79,141.02,18.1,7.3,1
22.0,13.8,35.8,1.5,-7.7,-0.79,141.02,18.1,7.3,0
22.8,14.4,35.3,0.94,11.5,-2.88,902.08,18.9,7.2,1
22.8,14.4,35.3,0.94,11.5,-2.88,902.08,18.9,7.2,0
20.4,10.8,26.7,3.83,17.1,1.55,0.0,14.9,2.4,0
20.4,10.8,26.7,3.83,17.1,1.55,0.0,14.9,2.4,0
22.5,10.4,27.9,4.37,20.1,-2.62,1148.13,14.5,3.8,0
22.5,10.4,27.9,4.37,20.1,-2.62,1148.13,14.5,3.8,0
21.9,12.8,28.9,3.41,19.3,-0.86,474.34,16.1,4.0,0
21.9,12.8,28.9,3.41,19.3,-0.86,474.34,16.1,4.0,1
23.2,15.4,33.5,-0.32,16.9,-2.16,419.64,20.3,4.6,0
23.2,15.4,33.5,-0.32,16.9,-2.16,419.64,20.3,4.6,0
21.8,12.2,27.7,3.24,-8.3,-0.53,45.2,16.5,3.2,0
21.8,12.2,27.7,3.24,-8.3,-0.53,45.2,16.5,3.2,0
22.5,15.9,30.4,0.01,-7.3,-1.41,262.24,19.8,3.2,0
22.5,15.9,30.4,0.01,-7.3,-1.41,262.24,19.8,3.2,0
22.6,14.7,32.6,-0.35,-6.0,-2.87,304.13,20.2,5.2,1
22.6,14.7,32.6,-0.35,-6.0,-2.87,304.13,20.2,5.2,0
23.3,12.8,31.3,2.7,-5.0,-1.5,296.02,17.3,5.8,1
23.3,12.8,31.3,2.7,-5.0,-1.5,296.02,17.3,5.8,0
20.2,14.5,32.4,1.84,10.5,1.1,0.0,18.0,6.8,0
20.2,14.5,32.4,1.84,10.5,1.1,0.0,18.0,6.8,0
22.6,6.4,6.5,8.83,27.7,0.74,19.73,9.1,-9.8,0
22.6,6.4,6.5,8.83,27.7,0.74,19.73,9.1,-9.8,0
22.8,13.6,21.1,3.18,15.9,0.07,32.38,16.5,-2.2,0
22.8,13.6,21.1,3.18,15.9,0.07,32.38,16.5,-2.2,0
22.0,15.4,33.9,0.93,17.1,0.01,79.02,18.5,6.2,0
22.0,15.4,33.9,0.93,17.1,0.01,79.02,18.5,6.2,0
21.6,16.0,35.7,0.78,13.3,-0.42,114.23,19.3,8.2,1
21.6,16.0,35.7,0.78,13.3,-0.42,114.23,19.3,8.2,1
21.4,15.0,35.1,1.18,16.5,0.13,166.7,18.5,7.4,1
